smiles,PUBCHEM_ACTIVITY_OUTCOME,dataset
C1=CC(=C(C=C1NC(=O)OCC(F)(F)F)Cl)Cl,0,2
CCOC(=O)C(CCCCOC1=CC=C(C=C1)F)C(=O)OCC,0,2
COCCNC(=O)CCCCCN1C(=O)CCC1=O,0,2
CCOCCCNC(=S)N(CCCO)CC1=CC2=C(C=C(C=C2)OC)NC1=O,0,2
CCN1C(=NN=C1SCC(=O)OCC)C2=NN=C(N2CC)SCC(=O)OCC,0,2
CCOC1=CC=C(C=C1)N(CC(=O)NCCC2=CC(=C(C=C2)OC)OC)S(=O)(=O)C,0,2
CCOC(=O)CSCCOC1=C(C=C(C=C1)C=O)OC,0,2
COC1=CC=CC=C1N(CC(=O)NCCSC2=CC=C(C=C2)Cl)S(=O)(=O)C,0,2
CSC1=CC=C(C=C1)/C=N/NC(=O)C[N+]2=CC=CC=C2.[Cl-],0,10
CC1CCCCN1CC2=CC=C(C(=O)N2)C(=O)NCC3=CC4=CC=CC=C4N=C3,1,2
C1C[C@@H]2C(=O)N3C[C@H](C[C@H]3C(=O)N2C1)NC(=O)NC4=CC=CC=C4,1,2
CC1=C(C(=NC2=C1C(=NN2C(C)(C)C)C)C)CCC(=O)NCC3=CC=C(C=C3)OC,1,2
COC1=CC=C(C=C1)/C=N/NC(=O)COC2=CC=CC(=C2)[N+](=O)[O-],0,2
COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2.Cl,0,2
CCOC1=C(C(=C2N1C(=CC(=N2)C)C)C#N)C#N,0,2
CCN1C(=[N+](C2=C1C=C(C=C2)N)CC)C.[I-],0,2
CCN1C2=CC=CC=C2C(=C1C(=O)O)CC(=O)NCCCN(CC)CC,0,2
CC(C)CCOC1=CC=C(C=C1)C(=O)CCNC(CC(C)C)C(=O)O,0,2
CCC1=CC=CC=C1NC(=O)CSC2=NC3=NNC(=C3C(=N)N2C4=CC=C(C=C4)OCC)C,0,10
CC1=C(C=NN1)C2=CC(=C(C=C2)NC(=O)C3CC4=C(C=CC=C4OC)OC3)OCCN(C)C.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,1,2
C1=C(C=C(C(=C1C(F)(F)F)C(=O)N)C(F)(F)F)C(F)(F)F,0,2
CCCCCCNC(CC(=O)NC1=CC=C(C=C1)C)C(=O)O,0,2
CCCCCCCCC(/C=C/C=C/C=C\\C(CCCC(=O)O)O)O,0,2
CCOC(=O)C1=C(C(=NC2=C1CCCC2)SC)C#N,0,2
COCCNC(=O)CN(CC1=CC=CS1)C(=O)CCC(=O)NC2=NC=CS2,0,2
CCC1=CC(=CC=C1)OCCOCCC(C(=O)OCC)C(=O)OCC,0,2
CCCCC[C@@](C)(/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\\CCCC(=O)OC)O)O)O,0,2
CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1CCCCCCCO)O)O)O,0,2
CC1CCCCN1CC2=NC3=C(N2CC(=O)N)C(=O)N(C(=O)N3C)C,0,10
CCOC1(C2(C(C2(C(=N1)N)C#N)C3=CC=C(C=C3)OC)C#N)OCC,0,2
CC1=C(C(=NO1)C)COC(=O)COC2=CC=CC=C2OC,0,2
CCOC1=CC=C(C=C1)NC(=S)NCCCN2C(=CC=N2)C,0,2
CCOC(=O)NC(CC(=O)O)C1=CC=C(C=C1)OC,0,2
COC1=C(C=C(C=C1)/C(=C/2\\C(N(C(=O)C2=O)CCCO)C3=CC(=CC=C3)Cl)/O)F,1,2
CC(C)CC(C(=O)O)NC(=O)COC1=CC(=CC=C1)Br,0,2
CCOC(=O)C(C(F)(F)F)(NC1=CC=C(C=C1)C(F)(F)F)NC(=O)C2=CC(=CC=C2)C(F)(F)F,0,2
CCOCCCNC(=S)NCCNC1=C(C=C2C=CC(=C(C2=N1)C)C)C#N,0,2
C(CCC(=O)O)CCN,0,2
COC1=C(C=CC=C1O)O,0,2
CCC1=CC=C(C=C1)N2C(=O)/C(=C/C3=CC=C(O3)C4=CC5=C(C=C4)C(=O)NC5=O)/C(=N2)C,1,2
COC(=O)CCCCCNC(=S)NNC(=O)C1=CC=CC=C1,0,2
CC1=CC(=C(C=C1)N2C(=C3CS(=O)CC3=N2)NC(=O)C4=CC(=CC=C4)F)C,1,2
CC(C)NC(=O)[C@@H]1C[C@H](CN1CC2=CC=CC=C2)NCC3=C(NN=C3)C4=CC=C(C=C4)OC,1,2
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)NCCO,0,2
C(C(F)(F)F)OCC(F)(F)F,0,2
C=CCN1C(=O)C(NC1=S)CC(=O)O,0,2
C1=CC=C(C(=C1)NC2=NC(=NC(=N2)OCC(F)(F)F)OCC(F)(F)F)[N+](=O)[O-],0,2
CCN(CC)C1=C(C(=NC(=N1)SC)Cl)CC2=CC=C(C=C2)OC(C)C,0,10
CCOC1=CC=C(C=C1)OCC(CNC2CCN(CC2)CC3=CC=CC=C3)O.C(=O)(C(=O)O)O,0,2
